date,user_id,financial_risk_score,academic_risk_score,behavioral_risk_score,overall_risk_score,compliance_score,risk_level,risk_factors
2026-05-09,6f168c2c-529c-4ec8-9932-90d1b493cf87,38,25,21,29,87,LOW,No material risk factors
2026-05-10,6f168c2c-529c-4ec8-9932-90d1b493cf87,53,77,5,47,77,MEDIUM,Low study consistency
2026-05-11,6f168c2c-529c-4ec8-9932-90d1b493cf87,43,42,18,36,83,LOW,No material risk factors
2026-05-12,6f168c2c-529c-4ec8-9932-90d1b493cf87,44,20,16,29,87,LOW,No material risk factors
2026-05-13,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,77,22,48,75,MEDIUM,Low study consistency
2026-05-14,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,77,47,55,66,MEDIUM,Low study consistency
2026-05-15,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,18,3,25,92,LOW,No material risk factors
2026-05-16,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,77,27,50,74,MEDIUM,Low study consistency; Elevated stress
2026-05-17,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,38,32,39,79,MEDIUM,No material risk factors
2026-05-18,6f168c2c-529c-4ec8-9932-90d1b493cf87,43,77,10,44,79,MEDIUM,Low study consistency; Elevated stress
2026-05-19,6f168c2c-529c-4ec8-9932-90d1b493cf87,43,33,23,34,84,LOW,No material risk factors
2026-05-20,6f168c2c-529c-4ec8-9932-90d1b493cf87,43,29,3,28,90,LOW,No material risk factors
2026-05-21,6f168c2c-529c-4ec8-9932-90d1b493cf87,44,12,6,24,92,LOW,No material risk factors
2026-05-22,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,13,4,24,92,LOW,No material risk factors
2026-05-23,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,21,20,31,86,LOW,No material risk factors
2026-05-24,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,16,31,32,84,LOW,No material risk factors
2026-05-25,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,15,16,28,88,LOW,No material risk factors
2026-05-26,6f168c2c-529c-4ec8-9932-90d1b493cf87,46,27,23,34,84,LOW,No material risk factors
2026-05-27,6f168c2c-529c-4ec8-9932-90d1b493cf87,46,15,18,29,87,LOW,No material risk factors
2026-05-28,6f168c2c-529c-4ec8-9932-90d1b493cf87,46,77,21,48,75,MEDIUM,Low study consistency
2026-05-29,6f168c2c-529c-4ec8-9932-90d1b493cf87,46,77,3,43,80,MEDIUM,Low study consistency
2026-05-30,6f168c2c-529c-4ec8-9932-90d1b493cf87,46,36,38,41,77,MEDIUM,No material risk factors
2026-05-31,6f168c2c-529c-4ec8-9932-90d1b493cf87,47,38,3,32,87,LOW,No material risk factors
2026-06-01,6f168c2c-529c-4ec8-9932-90d1b493cf87,21,77,16,36,83,LOW,Low study consistency
2026-06-02,6f168c2c-529c-4ec8-9932-90d1b493cf87,42,28,16,31,86,LOW,No material risk factors
2026-06-03,6f168c2c-529c-4ec8-9932-90d1b493cf87,32,33,33,33,83,LOW,No material risk factors
2026-06-04,6f168c2c-529c-4ec8-9932-90d1b493cf87,32,77,3,37,84,LOW,Low study consistency
2026-06-05,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,33,16,33,85,LOW,No material risk factors
2026-06-06,6f168c2c-529c-4ec8-9932-90d1b493cf87,35,33,3,25,92,LOW,No material risk factors
2026-06-07,6f168c2c-529c-4ec8-9932-90d1b493cf87,36,5,27,24,89,LOW,No material risk factors
2026-06-08,6f168c2c-529c-4ec8-9932-90d1b493cf87,36,77,16,43,78,MEDIUM,Low study consistency
2026-06-09,6f168c2c-529c-4ec8-9932-90d1b493cf87,37,44,16,33,85,LOW,No material risk factors
2026-06-10,6f168c2c-529c-4ec8-9932-90d1b493cf87,51,19,31,36,81,LOW,No material risk factors
2026-06-11,6f168c2c-529c-4ec8-9932-90d1b493cf87,41,37,34,38,79,MEDIUM,No material risk factors
2026-06-12,6f168c2c-529c-4ec8-9932-90d1b493cf87,42,38,36,39,79,MEDIUM,No material risk factors
2026-06-13,6f168c2c-529c-4ec8-9932-90d1b493cf87,43,16,3,24,92,LOW,No material risk factors
2026-06-14,6f168c2c-529c-4ec8-9932-90d1b493cf87,44,36,3,30,89,LOW,No material risk factors
2026-06-15,6f168c2c-529c-4ec8-9932-90d1b493cf87,44,48,50,47,71,MEDIUM,No material risk factors
2026-06-16,6f168c2c-529c-4ec8-9932-90d1b493cf87,46,52,47,48,71,MEDIUM,No material risk factors
2026-06-17,6f168c2c-529c-4ec8-9932-90d1b493cf87,46,23,20,32,85,LOW,No material risk factors
2026-06-18,6f168c2c-529c-4ec8-9932-90d1b493cf87,47,45,20,39,81,MEDIUM,No material risk factors
2026-06-19,6f168c2c-529c-4ec8-9932-90d1b493cf87,47,16,19,30,87,LOW,No material risk factors
2026-06-20,6f168c2c-529c-4ec8-9932-90d1b493cf87,48,77,34,53,70,MEDIUM,Low study consistency
2026-06-21,6f168c2c-529c-4ec8-9932-90d1b493cf87,48,35,15,35,84,LOW,No material risk factors
2026-06-22,6f168c2c-529c-4ec8-9932-90d1b493cf87,48,15,17,29,87,LOW,No material risk factors
2026-06-23,6f168c2c-529c-4ec8-9932-90d1b493cf87,48,17,3,26,91,LOW,No material risk factors
2026-06-24,6f168c2c-529c-4ec8-9932-90d1b493cf87,48,5,3,23,93,LOW,No material risk factors
2026-06-25,6f168c2c-529c-4ec8-9932-90d1b493cf87,48,21,3,27,90,LOW,No material risk factors
2026-06-26,6f168c2c-529c-4ec8-9932-90d1b493cf87,49,62,16,44,77,MEDIUM,Low study consistency
2026-06-27,6f168c2c-529c-4ec8-9932-90d1b493cf87,49,62,16,44,77,MEDIUM,Low study consistency
2026-06-28,6f168c2c-529c-4ec8-9932-90d1b493cf87,49,29,15,33,85,LOW,No material risk factors
2026-06-29,6f168c2c-529c-4ec8-9932-90d1b493cf87,51,8,16,28,88,LOW,No material risk factors
2026-06-30,6f168c2c-529c-4ec8-9932-90d1b493cf87,52,34,16,37,82,LOW,No material risk factors
2026-07-01,6f168c2c-529c-4ec8-9932-90d1b493cf87,20,5,16,14,97,LOW,No material risk factors
2026-07-02,6f168c2c-529c-4ec8-9932-90d1b493cf87,42,62,16,41,79,MEDIUM,Low study consistency
2026-07-03,6f168c2c-529c-4ec8-9932-90d1b493cf87,33,5,16,20,93,LOW,No material risk factors
2026-07-04,6f168c2c-529c-4ec8-9932-90d1b493cf87,34,62,3,34,86,LOW,Low study consistency
2026-07-05,6f168c2c-529c-4ec8-9932-90d1b493cf87,46,62,3,39,83,MEDIUM,Low study consistency
2026-07-06,6f168c2c-529c-4ec8-9932-90d1b493cf87,37,30,16,29,87,LOW,No material risk factors
2026-07-07,6f168c2c-529c-4ec8-9932-90d1b493cf87,38,62,16,39,81,MEDIUM,Low study consistency
2026-07-08,6f168c2c-529c-4ec8-9932-90d1b493cf87,38,25,3,24,92,LOW,No material risk factors
2026-07-09,6f168c2c-529c-4ec8-9932-90d1b493cf87,39,37,31,36,81,LOW,No material risk factors
2026-07-10,6f168c2c-529c-4ec8-9932-90d1b493cf87,54,38,31,43,76,MEDIUM,No material risk factors
2026-07-11,6f168c2c-529c-4ec8-9932-90d1b493cf87,44,62,18,42,79,MEDIUM,Low study consistency
2026-07-12,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,62,3,38,83,MEDIUM,Low study consistency
2026-07-13,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,5,31,29,85,LOW,No material risk factors
2026-07-14,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,35,3,30,89,LOW,No material risk factors
2026-07-15,6f168c2c-529c-4ec8-9932-90d1b493cf87,46,28,3,29,89,LOW,No material risk factors
2026-07-16,6f168c2c-529c-4ec8-9932-90d1b493cf87,46,28,16,32,85,LOW,No material risk factors
2026-07-17,6f168c2c-529c-4ec8-9932-90d1b493cf87,46,18,16,29,87,LOW,No material risk factors
2026-07-18,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,62,16,42,79,MEDIUM,Low study consistency
2026-07-19,6f168c2c-529c-4ec8-9932-90d1b493cf87,46,62,15,42,79,MEDIUM,Low study consistency
2026-07-20,6f168c2c-529c-4ec8-9932-90d1b493cf87,46,18,16,29,87,LOW,No material risk factors
2026-07-21,6f168c2c-529c-4ec8-9932-90d1b493cf87,47,34,3,31,88,LOW,No material risk factors
2026-07-22,6f168c2c-529c-4ec8-9932-90d1b493cf87,47,38,16,36,83,LOW,No material risk factors
2026-07-23,6f168c2c-529c-4ec8-9932-90d1b493cf87,48,21,47,40,76,MEDIUM,No material risk factors
2026-07-24,6f168c2c-529c-4ec8-9932-90d1b493cf87,48,62,31,47,73,MEDIUM,Low study consistency
2026-07-25,6f168c2c-529c-4ec8-9932-90d1b493cf87,48,62,35,49,72,MEDIUM,Low study consistency
2026-07-26,6f168c2c-529c-4ec8-9932-90d1b493cf87,49,19,3,27,90,LOW,No material risk factors
2026-07-27,6f168c2c-529c-4ec8-9932-90d1b493cf87,50,34,16,36,83,LOW,No material risk factors
2026-07-28,6f168c2c-529c-4ec8-9932-90d1b493cf87,50,35,3,32,87,LOW,No material risk factors
2026-07-29,6f168c2c-529c-4ec8-9932-90d1b493cf87,50,62,16,44,77,MEDIUM,Low study consistency
2026-07-30,6f168c2c-529c-4ec8-9932-90d1b493cf87,50,5,16,27,88,LOW,No material risk factors
2026-07-31,6f168c2c-529c-4ec8-9932-90d1b493cf87,51,62,63,58,62,HIGH,Low study consistency; Habit completion below target
2026-08-01,6f168c2c-529c-4ec8-9932-90d1b493cf87,21,62,18,32,85,LOW,Low study consistency
2026-08-02,6f168c2c-529c-4ec8-9932-90d1b493cf87,42,19,12,27,89,LOW,No material risk factors
2026-08-03,6f168c2c-529c-4ec8-9932-90d1b493cf87,33,5,3,16,98,LOW,No material risk factors
2026-08-04,6f168c2c-529c-4ec8-9932-90d1b493cf87,33,5,3,16,98,LOW,No material risk factors
2026-08-05,6f168c2c-529c-4ec8-9932-90d1b493cf87,47,44,16,37,82,LOW,No material risk factors
2026-08-06,6f168c2c-529c-4ec8-9932-90d1b493cf87,37,18,16,25,90,LOW,No material risk factors
2026-08-07,6f168c2c-529c-4ec8-9932-90d1b493cf87,38,33,3,27,90,LOW,No material risk factors
2026-08-08,6f168c2c-529c-4ec8-9932-90d1b493cf87,38,62,3,35,85,LOW,Low study consistency
2026-08-09,6f168c2c-529c-4ec8-9932-90d1b493cf87,38,12,15,24,91,LOW,No material risk factors
2026-08-10,6f168c2c-529c-4ec8-9932-90d1b493cf87,53,62,16,45,77,MEDIUM,Low study consistency
2026-08-11,6f168c2c-529c-4ec8-9932-90d1b493cf87,43,17,3,24,92,LOW,No material risk factors
2026-08-12,6f168c2c-529c-4ec8-9932-90d1b493cf87,44,62,16,42,79,MEDIUM,Low study consistency
2026-08-13,6f168c2c-529c-4ec8-9932-90d1b493cf87,44,62,3,38,83,MEDIUM,Low study consistency
2026-08-14,6f168c2c-529c-4ec8-9932-90d1b493cf87,44,31,3,29,89,LOW,No material risk factors
2026-08-15,6f168c2c-529c-4ec8-9932-90d1b493cf87,44,62,3,38,83,MEDIUM,Low study consistency
2026-08-16,6f168c2c-529c-4ec8-9932-90d1b493cf87,45,62,3,38,83,MEDIUM,Low study consistency
2026-08-17,6f168c2c-529c-4ec8-9932-90d1b493cf87,46,62,16,42,79,MEDIUM,Low study consistency
2026-08-18,6f168c2c-529c-4ec8-9932-90d1b493cf87,47,18,3,26,91,LOW,No material risk factors
2026-08-19,6f168c2c-529c-4ec8-9932-90d1b493cf87,47,18,3,26,91,LOW,No material risk factors
2026-08-20,6f168c2c-529c-4ec8-9932-90d1b493cf87,47,37,16,35,83,LOW,No material risk factors
2026-08-21,6f168c2c-529c-4ec8-9932-90d1b493cf87,47,26,3,28,90,LOW,No material risk factors
2026-08-22,6f168c2c-529c-4ec8-9932-90d1b493cf87,48,62,18,44,77,MEDIUM,Low study consistency
2026-08-23,6f168c2c-529c-4ec8-9932-90d1b493cf87,50,36,14,36,83,LOW,No material risk factors
2026-08-24,6f168c2c-529c-4ec8-9932-90d1b493cf87,50,62,3,40,82,MEDIUM,Low study consistency
2026-08-25,6f168c2c-529c-4ec8-9932-90d1b493cf87,50,25,16,33,85,LOW,No material risk factors
2026-08-26,6f168c2c-529c-4ec8-9932-90d1b493cf87,52,27,16,34,84,LOW,No material risk factors
2026-08-27,6f168c2c-529c-4ec8-9932-90d1b493cf87,53,35,16,37,82,LOW,No material risk factors
2026-08-28,6f168c2c-529c-4ec8-9932-90d1b493cf87,53,36,16,38,81,MEDIUM,No material risk factors
2026-08-29,6f168c2c-529c-4ec8-9932-90d1b493cf87,53,62,3,42,81,MEDIUM,Low study consistency
2026-08-30,6f168c2c-529c-4ec8-9932-90d1b493cf87,53,43,3,36,85,LOW,No material risk factors
2026-08-31,6f168c2c-529c-4ec8-9932-90d1b493cf87,53,20,16,33,85,LOW,No material risk factors
2026-09-01,6f168c2c-529c-4ec8-9932-90d1b493cf87,21,39,3,21,94,LOW,No material risk factors
2026-09-02,6f168c2c-529c-4ec8-9932-90d1b493cf87,43,15,3,23,93,LOW,No material risk factors
2026-09-03,6f168c2c-529c-4ec8-9932-90d1b493cf87,33,18,16,24,90,LOW,No material risk factors
2026-09-04,6f168c2c-529c-4ec8-9932-90d1b493cf87,34,18,16,24,90,LOW,No material risk factors
2026-09-05,6f168c2c-529c-4ec8-9932-90d1b493cf87,47,62,31,47,73,MEDIUM,Low study consistency
